Altium Designer Pick and Place Locations
C:\Users\kugli\Documents\Projektek\LED_control\Project Outputs for LED_control\Pick Place for LED_control.csv

========================================================================================================================
File Design Information:

Date:       16/10/25
Time:       15:02
Revision:   374fd43416fae37e7052e46ab27146725044108c
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C22.4","10pF/50V/NPO","TopLayer","C0603","22.7495","71.7503","270","0603 capacitor"
"C22.3","10pF/50V/NPO","TopLayer","C0603","38.1246","72.6255","180","0603 capacitor"
"C22.2","10pF/50V/NPO","TopLayer","C0603","58.1250","72.6250","180","0603 capacitor"
"C22.1","10pF/50V/NPO","TopLayer","C0603","78.1250","72.6250","180","0603 capacitor"
"C21.4","10pF/50V/NPO","TopLayer","C0603","22.7495","75.2503","270","0603 capacitor"
"C21.3","10pF/50V/NPO","TopLayer","C0603","41.6246","72.6255","180","0603 capacitor"
"C21.2","10pF/50V/NPO","TopLayer","C0603","61.6250","72.6250","180","0603 capacitor"
"C21.1","10pF/50V/NPO","TopLayer","C0603","81.6250","72.6250","180","0603 capacitor"
"C17","10µF/10V/X5R","TopLayer","C0603","8.6000","73.1899","180","0603 capacitor"
"C16","100nF/50V/X7R","TopLayer","C0603","8.6000","71.9399","180","0603 capacitor"
"C15","100nF/50V/X7R","TopLayer","C0603","5.7000","72.3649","270","0603 capacitor"
"C14","10µF/10V/X5R","TopLayer","C0603","6.8500","72.3899","270","0603 capacitor"
"C13","10µF/10V/X5R","TopLayer","C0603","39.5000","54.8750","90","0603 capacitor"
"C12","1µF/50V/X5R","TopLayer","C0603","43.7500","50.2500","0","0603 capacitor"
"C11","10µF/10V/X5R","TopLayer","C0603","52.1250","48.7500","180","0603 capacitor"
"C10","10µF/10V/X5R","TopLayer","C0603","52.1250","47.6250","180","0603 capacitor"
"C9","100nF/50V/X7R","TopLayer","C0603","59.5000","46.3750","90","0603 capacitor"
"C8","CL31B106KBHNNNE","TopLayer","CL31-1.6mm","61.1250","46.0000","90","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, 15% TC, 10uF, Surface Mount, 1206"
"C7","100nF/50V/X7R","TopLayer","C0603","56.5000","49.3750","180","0603 capacitor"
"C6","EEH-ZA1V271P","TopLayer","CPOL_10x10.2MM","42.2500","43.0000","270","Aluminum Electrolytic Capacitor, Polarized, Aluminum (solid Polymer), 35V, 20% +Tol, 20% -Tol, 270uF, Surface Mount, 4141"
"C2","22201C106MAT2A","BottomLayer","FP-2220-L_5_7_0_5-W_5_0_4-IPC_B","19.5000","96.0000","0","Ceramic Capacitor, Multilayer, Ceramic, 100V, 20% +Tol, 20% -Tol, X7R, 15% TC, 10uF, Surface Mount, 2220"
